Gene,UF_1,UF_2,UF_3,DF_1,DF_2,DF_3
A1BG,0.0918248,0.055807,0.0729067,0.116929,0.0590997,0.0194404
A1CF,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
A2M,73.3114,72.7699,62.5341,118.427,106.021,85.1985
A2ML1,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
A3GALT2,1.84E-06,1.86E-06,1.82E-06,0.0194898,0.0197012,1.94E-06
A4GALT,30.5036,24.8705,23.2566,27.8481,32.8189,32.4621
A4GNT,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
AAAS,35.26,38.0963,38.4573,38.9367,35.695,38.0993
AACS,40.8061,50.3176,51.4708,57.5865,58.6446,59.7148
AADAC,0.146919,0.372036,0.218716,0.409246,0.334889,0.097194
AADACL2,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
AADACL3,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
AADACL4,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
AADAT,0.110189,0.130214,0.109359,0.350783,0.275791,0.194386
AAGAB,40.5674,47.2483,46.0212,46.4589,42.5897,43.7753
AAK1,171.305,202.387,178.052,199.555,189.566,182.002
AAMDC,12.8552,10.2309,9.89683,12.9204,14.0259,13.5874
AAMP,65.433,68.2311,66.635,69.2402,64.9484,67.6457
AANAT,0.0550956,0.111612,0.018228,0.0194898,1.97E-06,0.0194404
AAR2,32.7808,32.5716,32.4062,35.7406,34.6707,36.8747
AARD,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
AARS1,149.488,207.539,197.572,168.589,158.48,163.341
AARS2,22.111,23.3823,23.0744,22.6643,21.1964,21.6155
AARSD1,2.14866,1.80437,1.91375,2.12417,1.71384,1.78834
AASDH,12.1206,12.612,12.6672,11.946,11.1695,10.9827
AASDHPPT,34.3234,34.6922,35.5593,35.8966,32.681,31.7818
AASS,38.0698,34.1527,34.8485,45.8353,42.3731,45.0388
AATF,40.2919,41.0168,41.1912,40.5347,38.9651,40.393
AATK,5.6012,4.48301,4.08267,7.28844,7.54481,8.78616
ABAT,1.02842,0.74407,0.565014,1.79288,1.65474,1.43844
ABCA1,1.56099,1.17191,0.601467,1.16927,0.728874,0.427647
ABCA2,139.461,108.932,98.6585,85.9997,86.0659,82.3022
ABCA3,246.673,199.243,198.192,161.612,168.271,164.779
ABCA4,1.35898,0.874282,0.856634,2.14366,2.34421,2.25486
ABCA5,13.2225,19.2342,18.1169,23.1515,17.9854,17.4557
ABCA6,36.5088,29.9674,22.5823,71.3644,74.5813,67.1014
ABCA7,59.6115,45.63,42.2848,26.3475,28.1108,25.7559
ABCA8,58.8585,36.5524,32.4427,43.0681,45.0521,40.568
ABCA9,26.6837,17.4298,10.0426,57.4306,58.684,46.3217
ABCA10,0.51421,0.74407,0.856634,1.09132,1.28045,0.952484
ABCA12,1.84E-06,1.86E-06,1.82E-06,1.95E-06,0.0197012,1.94E-06
ABCA13,0.0183664,1.86E-06,1.82E-06,1.95E-06,0.0197012,1.94E-06
ABCB1,42.2569,55.8051,58.98,24.769,33.6463,37.0885
ABCB4,0.220377,0.446443,0.510336,0.214368,0.0984981,0.0583172
ABCB5,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ABCB6,8.98029,7.71971,7.56388,5.22274,4.92481,3.57667
ABCB7,21.2846,19.7736,20.6685,18.7278,17.3156,18.7969
ABCB8,31.532,36.1245,34.7938,41.8403,41.8018,41.3844
ABCB9,19.0808,18.9179,17.5518,25.0224,25.5499,27.2915
ABCB10,32.5788,32.7762,34.1741,28.3743,25.3332,24.6868
ABCB11,0.220377,0.241824,0.419205,0.409246,0.650077,0.563716
ABCC1,194.554,186.426,170.688,150.777,157.101,142.367
ABCC2,2.51595,3.70174,3.18959,3.02061,3.21098,3.47948
ABCC3,60.8602,107.499,114.789,42.386,43.6535,49.9178
ABCC4,79.0596,78.927,78.7008,34.9027,30.5338,31.3542
ABCC5,64.9556,52.494,49.229,59.8081,60.7918,62.0474
ABCC6,0.128554,0.0186036,0.0911329,0.155904,0.0394004,0.0583172
ABCC8,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ABCC9,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ABCC10,51.0168,46.8949,43.0139,44.2178,44.4021,42.2785
ABCC11,0.0183664,0.130214,0.0546805,0.0584654,0.0787989,0.136071
ABCC12,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ABCD1,21.56,18.3971,18.609,21.573,21.5904,22.0626
ABCD2,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ABCD3,40.2919,42.2817,44.8547,43.6527,42.314,40.082
ABCD4,62.256,57.5165,56.3919,65.4206,61.5207,65.8184
ABCE1,94.2654,100.282,104.236,110.048,99.7963,96.9977
ABCF1,87.8011,100.04,97.3826,96.1139,91.6802,91.7298
ABCF2,22.9374,23.494,24.0221,23.132,23.1072,23.7149
ABCF3,53.9184,57.3305,55.3712,58.366,52.4197,52.3865
ABCG1,28.3549,18.6575,17.0962,7.65871,7.32812,6.66738
ABCG2,103.925,57.0886,44.3444,8.82798,9.31774,9.68033
ABCG4,2.00174,1.28352,1.05712,1.03286,0.906167,1.2635
ABCG5,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ABCG8,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ABHD1,0.036731,1.86E-06,0.0364542,0.0194898,1.97E-06,1.94E-06
ABHD2,96.1754,103.407,100.317,90.6963,83.8202,87.3951
ABHD3,8.8701,9.39386,9.58699,8.92542,8.78586,7.40604
ABHD4,88.6275,134.621,114.807,100.421,84.6279,85.6651
ABHD5,25.0126,27.2515,26.4462,22.4889,20.5266,21.5766
ABHD6,8.92519,9.37526,9.16779,9.10081,11.3271,10.4967
ABHD8,9.01701,8.35217,7.9284,7.46383,7.42661,6.51187
ABHD10,18.989,20.0154,20.5956,19.0591,16.7247,17.8833
ABHD11,10.8167,10.3426,10.4801,5.35915,6.95383,6.47299
ABHD12,48.1152,44.1419,45.2192,45.1533,43.5156,44.9805
ABHD12B,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ABHD13,19.3563,21.0571,23.3113,21.3392,17.2565,16.3477
ABHD14A,2.13029,2.1578,1.65859,1.81237,3.11248,2.56587
ABHD14A-ACY1,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,0.0194404
ABHD14B,23.323,21.6152,22.637,20.9494,19.6401,21.7127
ABHD15,14.6366,13.6165,13.5968,12.6086,13.2379,14.0928
ABHD16A,2.6996,2.56704,2.6428,2.35803,2.34421,1.90497
ABHD16B,0.0734602,0.241824,0.0729067,0.155904,0.0394004,0.136071
ABHD17A,53.441,45.537,48.0807,46.1277,46.9039,47.3714
ABHD17B,17.7769,18.9179,19.0464,19.5658,19.3643,18.9136
ABHD17C,10.9269,11.7563,13.1411,12.9204,12.4105,12.1879
ABHD18,11.6799,11.1238,14.4898,12.5112,10.6967,12.3628
ABI1,73.036,78.7596,77.188,80.7575,73.0842,73.1662
ABI2,60.1991,53.6473,56.1732,69.2402,66.6819,67.3346
ABI3,104.054,90.3485,94.5758,25.0224,23.3436,28.4384
ABI3BP,465.744,348.094,387.38,172.272,271.16,250.658
ABITRAM,20.1643,21.0943,20.1582,19.4099,15.129,16.9892
ABL1,101.115,107.369,100.281,158.767,160.352,157.548
ABL2,118.103,158.338,143.623,272.615,283.472,286.425
ABLIM1,386.042,367.216,333.357,452.117,551.953,541.457
ABLIM2,8.3008,7.47789,10.2067,0.935417,1.02436,1.16631
ABLIM3,283.696,273.65,272.865,149.472,108.109,118.205
ABO,1.84E-06,1.86E-06,0.018228,0.0194898,0.0197012,1.94E-06
ABR,251.338,231.015,233.387,182.64,184.661,190.03
ABRA,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ABRACL,25.7472,28.721,32.0235,38.8392,31.0854,34.8919
ABRAXAS1,27.2531,23.9776,26.0817,24.73,20.7039,21.5183
ABRAXAS2,22.5884,25.6518,25.4438,24.2623,22.5359,22.0043
ABT1,19.9807,20.6479,21.0695,20.8714,20.8221,20.352
ABTB1,23.525,20.7595,20.8143,22.9177,20.4872,22.7624
ABTB2,1.17534,0.837079,0.747276,0.662588,0.590979,0.38877
ACAA1,47.3806,39.2496,39.241,40.9439,42.3337,40.7818
ACAA2,17.9606,18.1367,19.575,22.2746,21.6101,22.7235
ACACA,127.707,144.368,137.972,164.536,167.897,166.937
ACACB,2.31394,1.82297,1.34874,2.02673,1.61534,1.74946
ACAD8,27.1612,25.5401,25.3527,26.1332,26.7713,25.4449
ACAD9,57.977,57.2003,58.6155,55.6572,57.443,56.9545
ACAD10,16.8587,16.5369,15.8204,15.8826,14.9123,16.7559
ACAD11,1.89155,1.84157,2.09602,1.96827,1.39865,1.63283
ACADL,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ACADM,26.3716,28.8326,29.6358,30.362,26.6925,28.9244
ACADS,8.19061,7.68251,7.72791,8.00949,8.74646,8.94167
ACADSB,11.8635,9.48687,10.6441,11.7706,9.53443,10.6522
ACADVL,398.824,402.969,396.985,346.864,360.417,349.833
ACAN,1.84E-06,0.0186036,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ACAP1,0.036731,0.186019,0.0911329,0.155904,0.0787989,0.116632
ACAP2,97.0385,100.468,102.632,90.1506,73.7145,75.3044
ACAP3,83.7793,70.7609,67.601,72.0075,79.25,74.2158
ACAT1,69.3263,68.8821,69.4419,59.0286,60.9691,60.3174
ACAT2,34.8744,48.0668,52.0723,68.6751,63.6285,67.0819
ACBD3,45.1218,66.5941,68.7857,67.8371,58.2703,57.7904
ACBD4,8.28243,7.5709,7.78259,7.26896,7.26902,7.40604
ACBD5,35.3886,36.0873,39.4051,38.0987,35.5374,35.2224
ACBD6,33.093,33.5203,35.9603,34.9611,35.6556,35.8444
ACBD7,1.08351,1.0789,1.62213,2.18264,2.16692,2.35205
ACCS,10.174,9.30086,8.89439,5.96327,5.1612,6.02591
ACCSL,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ACD,18.787,19.0854,18.7183,17.7534,17.7884,19.0108
ACE,33.6623,33.8551,28.5422,184.335,195.692,236.527
ACE2,0.0918248,0.055807,0.0364542,1.95E-06,0.0197012,1.94E-06
ACER1,1.84E-06,0.055807,0.018228,0.0389776,1.97E-06,1.94E-06
ACER2,8.11715,6.41759,5.90529,6.78176,5.98857,5.81209
ACER3,33.2399,31.5299,32.789,27.9845,26.1409,26.028
ACHE,0.257106,0.669663,0.145811,0.701563,0.472784,0.330455
ACIN1,254.258,253.969,250.774,265.229,265.191,262.691
ACKR1,9.16393,6.00835,7.30871,0.155904,0.118197,0.116632
ACKR2,0.569304,0.0930104,0.127585,1.95E-06,1.97E-06,1.94E-06
ACKR3,50.3741,35.8269,35.0308,15.3759,23.5997,18.2721
ACKR4,2.0752,2.56704,2.38764,3.31293,4.29443,2.95464
ACLY,487.029,501.614,517.606,519.623,498.824,511.386
ACMSD,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ACO1,101.795,109.397,110.378,112.815,116.403,119.974
ACO2,121.133,127.98,127.62,117.024,117.21,121.062
ACOD1,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ACOT1,0.642762,0.539451,0.601467,0.506685,0.492483,0.641469
ACOT2,6.81326,6.02696,6.14223,4.96939,4.49143,4.89848
ACOT4,0.0183664,0.055807,0.018228,0.116929,0.0394004,0.0194404
ACOT6,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ACOT7,69.6202,66.2779,67.1636,45.7574,44.7764,45.3692
ACOT8,13.3327,12.8538,12.0475,12.7645,12.2135,10.9438
ACOT9,77.0762,87.6512,81.6716,93.7754,87.6616,86.948
ACOT11,3.76474,3.2925,3.64524,4.24834,4.15654,5.17062
ACOT12,0.036731,1.86E-06,1.82E-06,1.95E-06,1.97E-06,0.0194404
ACOT13,14.508,16.8904,16.8046,13.0958,11.4847,11.6047
ACOX1,61.0806,59.5255,59.7091,75.223,74.4828,72.272
ACOX2,0.477481,0.334833,0.236943,0.19488,0.334889,0.563716
ACOX3,25.0493,25.0565,26.2093,27.8091,30.7308,29.974
ACOXL,0.0183664,1.86E-06,1.82E-06,0.0584654,0.0787989,0.0388788
ACP1,45.7462,47.7134,50.1403,49.7524,50.3315,49.1209
ACP2,50.3924,48.4388,47.7891,45.2312,47.3767,47.8379
ACP3,1.84E-06,1.86E-06,1.82E-06,0.0194898,0.0197012,1.94E-06
ACP4,1.84E-06,1.86E-06,0.018228,1.95E-06,1.97E-06,1.94E-06
ACP5,78.7841,29.0559,30.4013,11.0106,4.11714,4.84017
ACP6,11.1473,8.89162,8.51164,7.85359,6.99323,7.19221
ACP7,1.84E-06,0.0372053,0.0911329,0.136417,0.0590997,0.0388788
ACR,1.57936,1.24632,1.14825,0.701563,0.984964,1.03024
ACRBP,2.29558,1.59975,1.36697,0.662588,0.866768,0.796977
ACRV1,0.110189,0.0186036,1.82E-06,0.0194898,1.97E-06,0.0194404
ACSBG1,1.84E-06,0.0186036,0.018228,1.95E-06,1.97E-06,1.94E-06
ACSBG2,0.036731,1.86E-06,0.018228,1.95E-06,1.97E-06,1.94E-06
ACSF2,7.27238,6.99424,6.7437,6.06071,6.79624,8.53346
ACSF3,32.0278,30.4138,30.0732,29.6799,30.5732,30.5377
ACSL1,57.2424,73.1419,67.9291,73.5665,73.3796,75.7904
ACSL3,133.07,176.27,178.799,172.798,143.686,147.985
ACSL4,111.491,142.043,151.314,160.696,136.161,136.069
ACSL5,27.2898,23.5312,25.8812,6.11917,5.24,6.10366
ACSL6,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ACSM1,1.84E-06,0.0186036,1.82E-06,0.0584654,0.0394004,0.0388788
ACSM2A,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ACSM2B,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,0.0194404
ACSM3,1.5059,1.30212,0.255169,20.9884,25.6681,20.352
ACSM4,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ACSM5,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ACSM6,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ACSS1,3.39745,6.97564,6.30627,38.2741,39.0439,45.4664
ACSS2,66.0207,69.8122,72.2851,54.9946,56.2807,58.8984
ACSS3,1.84E-06,0.0186036,1.82E-06,0.0194898,1.97E-06,1.94E-06
ACTA1,0.183648,0.0744087,0.127585,0.136417,0.0984981,0.174948
ACTA2,6.86836,6.62221,6.25159,8.45771,6.69774,5.92872
ACTB,3826.39,3327.25,3634.45,3700.48,4245.05,4336.44
ACTBL2,1.84E-06,1.86E-06,0.018228,1.95E-06,0.0197012,1.94E-06
ACTC1,0.0183664,0.0186036,0.018228,0.0194898,1.97E-06,1.94E-06
ACTG1,3028.47,2540.84,2748.8,3517.39,4067.56,4097.66
ACTG2,0.0550956,0.0744087,0.018228,1.95E-06,0.0394004,0.0583172
ACTL6A,35.4069,37.8545,40.0612,39.2485,37.4088,37.3023
ACTL6B,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ACTL7A,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ACTL7B,1.84E-06,1.86E-06,1.82E-06,1.95E-06,0.0197012,1.94E-06
ACTL8,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ACTL9,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ACTL10,1.85483,1.63695,1.91375,1.14978,1.35925,1.2635
ACTN1,1025.5,1012.47,1003.72,901.954,1002.91,954.134
ACTN2,5.52774,3.2367,2.84329,4.01449,4.05804,4.02375
ACTN3,0.0550956,0.055807,0.0364542,0.0779532,0.0197012,0.0777556
ACTN4,803.028,794.851,846.48,665.392,786.118,788.422
ACTR1A,220.944,206.2,197.408,216.471,224.374,225.33
ACTR1B,59.2625,56.8096,55.9362,49.1483,52.5379,58.082
ACTR2,355.245,371.848,398.316,352.203,319.896,313.483
ACTR3,280.519,306.128,324.08,305.413,290.505,280.788
ACTR3B,3.72801,3.32971,3.35362,2.8842,2.6988,2.72138
ACTR3C,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,0.0194404
ACTR5,8.85173,8.85441,8.43874,11.3419,10.0269,10.1857
ACTR6,12.2308,12.5934,13.7608,12.7255,11.4453,10.5162
ACTR8,32.3951,33.6505,34.0466,35.0586,34.3555,31.7429
ACTR10,60.4562,66.5383,65.4868,63.5498,61.6389,61.853
ACTRT1,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ACTRT2,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ACTRT3,2.44249,2.79026,2.33296,2.49444,2.62,2.46868
ACVR1,45.7829,65.5896,63.409,63.6082,57.4036,60.123
ACVR1B,53.2389,47.5832,45.3286,52.6756,52.9318,50.9092
ACVR1C,0.128554,0.0372053,0.0546805,0.0194898,0.0197012,1.94E-06
ACVR2A,12.8185,12.1841,12.1569,12.9594,10.3027,10.9049
ACVR2B,9.23739,8.38937,8.47519,10.2506,9.39654,8.86392
ACVRL1,576.924,499.791,513.906,484.058,532.549,528.958
ACY1,0.128554,0.297629,0.145811,0.136417,0.177295,0.116632
ACY3,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ACYP1,5.93176,6.95704,7.34516,8.18488,7.24932,6.99783
ACYP2,8.13551,7.53369,7.01709,7.26896,6.22496,7.26997
ADA,9.67814,7.90573,8.09244,12.1214,12.5681,13.9568
ADA2,21.909,16.7787,16.3125,17.8508,15.2275,16.9114
ADAD1,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADAD2,0.165283,0.0372053,0.018228,0.0584654,0.0590997,0.0583172
ADAL,4.05858,5.04106,4.50188,5.1253,4.33383,4.89848
ADAM2,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADAM7,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADAM8,0.734585,0.799875,0.674372,0.760027,0.748573,0.738661
ADAM9,226.748,235.2,259.432,244.592,255.046,245.468
ADAM10,252.183,243.496,263.897,250.165,231.781,227.39
ADAM11,0.624398,0.409239,0.382752,0.876953,1.12286,1.24406
ADAM12,0.036731,1.86E-06,0.018228,0.233856,0.157596,0.116632
ADAM15,2123.11,1814.63,1881.87,536.811,517.479,528.103
ADAM17,132.243,189.886,178.981,160.969,123.317,119.119
ADAM18,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADAM19,212.533,102.198,107.079,34.357,30.1201,32.0539
ADAM20,0.165283,0.186019,0.127585,0.0779532,0.0984981,0.0777556
ADAM21,0.0550956,0.204621,0.145811,0.0389776,0.0197012,0.0194404
ADAM22,1.87319,1.61835,1.58568,2.84522,2.10782,2.58531
ADAM23,15.4814,12.0353,11.9564,21.1638,25.7075,23.1511
ADAM28,0.0734602,0.0186036,0.018228,0.0194898,1.97E-06,1.94E-06
ADAM29,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADAM30,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADAM32,0.404023,0.186019,0.3463,0.701563,0.433385,0.291578
ADAM33,0.036731,1.86E-06,1.82E-06,1.95E-06,0.0394004,1.94E-06
ADAMDEC1,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADAMTS1,1954.52,1481.33,1562.46,137.038,108.622,102.499
ADAMTS2,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADAMTS3,0.844773,0.837079,0.783729,1.40312,1.55624,1.47732
ADAMTS4,192.626,173.87,182.827,55.4039,33.8433,39.149
ADAMTS5,1.84E-06,1.86E-06,0.018228,1.95E-06,1.97E-06,1.94E-06
ADAMTS6,75.8274,83.0194,84.1869,48.6611,62.0526,59.5204
ADAMTS7,335.87,248.575,288.503,171.454,183.36,192.343
ADAMTS8,0.0183664,1.86E-06,1.82E-06,0.0194898,1.97E-06,1.94E-06
ADAMTS9,299.673,262.768,280.793,71.5592,50.7649,55.5161
ADAMTS10,8.70482,6.10136,5.59545,6.04122,5.45669,6.57018
ADAMTS12,0.532575,0.279027,0.328074,0.740539,1.00466,0.816415
ADAMTS13,3.94839,2.79026,2.73393,2.66983,2.93519,2.95464
ADAMTS14,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADAMTS15,1.34062,0.390638,0.182264,0.0779532,0.0197012,0.0388788
ADAMTS16,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADAMTS17,0.0550956,0.0744087,0.109359,0.0389776,1.97E-06,0.0777556
ADAMTS18,135.549,125.041,146.229,49.3042,47.4752,52.6781
ADAMTS19,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,0.0194404
ADAMTS20,1.84E-06,1.86E-06,0.018228,0.0194898,1.97E-06,1.94E-06
ADAMTSL1,74.9643,102.309,106.204,20.2478,23.6391,24.8228
ADAMTSL2,0.0550956,0.0930104,0.018228,1.95E-06,0.0394004,0.0388788
ADAMTSL3,0.0183664,0.0186036,1.82E-06,1.95E-06,0.0787989,1.94E-06
ADAMTSL4,10.9086,6.60361,7.34516,1.79288,1.63504,2.31317
ADAMTSL5,0.0734602,0.130214,0.127585,0.0194898,0.0197012,1.94E-06
ADAP1,1.67118,1.17191,1.13003,0.623612,0.393987,0.291578
ADAP2,0.257106,0.148816,0.109359,0.233856,0.177295,0.136071
ADAR,326.449,337.305,318.704,301.126,294.543,292.237
ADARB1,101.226,93.1015,94.8856,88.728,99.422,101.916
ADARB2,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADAT1,37.4821,35.8083,36.1061,35.8966,34.0206,32.6565
ADAT2,12.0472,10.0263,10.6259,9.74391,9.59353,9.68033
ADAT3,3.10362,3.70174,3.73637,3.87808,4.43233,4.68466
ADCK1,4.05858,4.68763,4.35607,4.07295,4.29443,4.08207
ADCK2,18.236,21.3548,20.3587,14.8887,11.9968,12.8294
ADCK5,11.7533,10.9192,10.5712,9.97776,11.8589,11.4492
ADCY1,0.75295,0.930087,0.820181,0.526173,0.413686,0.447085
ADCY2,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADCY3,42.4773,41.7608,44.9458,45.7964,43.3974,49.2375
ADCY4,357.448,292.047,295.702,130.49,158.973,159.142
ADCY5,1.84E-06,1.86E-06,0.0546805,0.0194898,0.0394004,0.116632
ADCY6,95.9917,89.0836,84.2051,89.2737,90.912,89.4361
ADCY7,27.9142,20.8339,20.6321,13.6804,11.4059,9.68033
ADCY8,1.84E-06,1.86E-06,1.82E-06,0.0194898,1.97E-06,0.0777556
ADCY9,53.092,47.8064,46.8596,52.3248,58.6052,54.6414
ADCY10,0.0550956,0.0186036,0.109359,0.0779532,0.0590997,0.0194404
ADCYAP1,1.84E-06,0.0186036,1.82E-06,0.0194898,1.97E-06,1.94E-06
ADCYAP1R1,0.0183664,0.0372053,0.0546805,0.0194898,0.0394004,1.94E-06
ADD1,439.575,383.381,379.324,360.856,381.988,383.559
ADD2,7.82332,4.25979,3.04378,4.4822,3.56556,2.39093
ADD3,67.8021,56.0842,53.2205,94.6328,76.6103,78.259
ADGB,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADGRA1,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADGRA2,148.331,122.269,114.752,106.579,115.438,116.728
ADGRA3,18.1626,18.7319,17.3696,34.0257,37.8619,34.6781
ADGRB1,0.146919,0.0372053,0.0911329,0.0389776,0.0590997,0.0583172
ADGRB2,3.98512,2.43683,2.2965,2.45547,2.12752,2.21598
ADGRB3,0.0183664,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADGRD1,1.84E-06,1.86E-06,0.018228,1.95E-06,0.0197012,1.94E-06
ADGRD2,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADGRE1,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADGRE2,1.84E-06,1.86E-06,1.82E-06,0.0194898,1.97E-06,0.0194404
ADGRE3,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADGRE5,14.9671,10.1565,10.5712,9.58801,10.4603,11.2743
ADGRF1,1.84E-06,0.0372053,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADGRF3,1.01005,0.725468,1.07535,0.682075,0.630377,0.563716
ADGRF4,1.84E-06,1.86E-06,1.82E-06,1.95E-06,0.0197012,1.94E-06
ADGRF5,111.859,72.8071,98.6402,49.1288,43.9293,55.6716
ADGRG1,212.203,187.933,199.067,127.041,130.626,154.263
ADGRG2,0.110189,0.0930104,1.82E-06,0.0584654,1.97E-06,1.94E-06
ADGRG3,1.84E-06,1.86E-06,1.82E-06,0.0194898,1.97E-06,1.94E-06
ADGRG4,1.84E-06,0.0186036,1.82E-06,1.95E-06,0.0590997,0.0194404
ADGRG5,1.84E-06,0.055807,1.82E-06,1.95E-06,0.0197012,1.94E-06
ADGRG6,72.687,55.2471,71.3921,21.9823,26.9486,32.8509
ADGRG7,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADGRL1,10.4311,7.21746,5.39496,7.42486,9.16014,8.47515
ADGRL2,107.249,101.063,94.6123,98.5304,111.99,100.263
ADGRL3,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADGRL4,329.571,345.936,365.144,420.313,361.954,349.172
ADGRV1,0.0918248,0.055807,0.0729067,0.0779532,0.0197012,0.0388788
ADH1A,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADH1B,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADH1C,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADH4,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADH5,68.1694,64.8084,66.6715,66.1806,66.9774,66.596
ADH6,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADH7,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADHFE1,0.918231,1.0231,1.1118,0.915929,0.787971,1.03024
ADI1,97.2956,81.2151,80.2318,76.1779,76.3936,74.4297
ADIG,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADIPOQ,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
ADIPOR1,125.338,133.3,132.906,128.444,125.425,126.816
ADIPOR2,94.8898,110.513,107.881,123.027,117.703,122.268
