Gene,UF_1,UF_2,UF_3,DF_1,DF_2,DF_3
UBE2U,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
UBE2V1,1.87319,1.72996,1.58568,1.85134,1.77293,1.84665
UBE2V2,31.1463,31.9391,37.9834,37.2607,32.9962,31.0237
UBE2W,23.121,22.7313,25.298,25.2562,19.6204,18.6803
UBE2Z,145.686,175.079,166.989,163.6,153.595,148.296
UBE3A,86.9747,88.879,90.3109,90.8717,77.5559,80.3584
UBE3B,87.8746,83.7449,80.1224,76.4702,79.053,76.8595
UBE3C,161.774,169.238,163.526,162.139,160.549,161.611
UBE3D,2.60777,2.26941,2.5699,1.9293,2.18662,2.60475
UBE4A,89.0132,101.212,99.187,97.1467,92.7046,87.8422
UBE4B,102.548,99.1471,96.5807,104.805,106.632,105.803
UBFD1,92.0801,91.3902,87.504,95.198,93.788,92.1769
UBIAD1,14.5999,16.4997,15.3465,16.1944,16.9807,17.7473
UBL3,33.2766,30.5626,34.7756,34.2791,27.1258,28.2634
UBL4A,28.7406,31.1021,29.9639,34.5129,34.3949,37.2246
UBL4B,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
UBL5,48.4458,46.8019,45.7296,52.8509,55.7488,54.0193
UBL7,23.6536,21.1873,21.835,22.6643,22.9693,23.19
UBLCP1,31.8993,33.8737,36.2337,36.6176,33.4887,31.257
UBN1,231.651,211.539,208.162,142.573,134.231,133.309
UBN2,25.7104,32.3484,29.3807,33.2267,27.8153,29.4686
UBOX5,6.59289,7.08725,6.70725,6.48944,6.65834,7.2894
UBP1,114.595,116.986,116.976,134.68,128.636,122.948
UBQLN1,142.858,165.704,159.406,167.381,161.672,161.941
UBQLN2,46.6828,47.9924,49.2837,51.9935,51.218,49.9761
UBQLN3,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
UBQLN4,41.0265,42.3561,43.4331,50.7268,49.189,51.0453
UBQLNL,0.0918248,0.0930104,0.0364542,1.95E-06,0.157596,0.0777556
UBR1,53.0737,60.2881,58.4515,56.2613,51.4544,51.9783
UBR2,77.168,77.3645,73.8162,72.5336,68.6912,69.2202
UBR3,61.705,59.0604,62.4794,52.5197,46.2932,47.6241
UBR4,237.601,287.341,239.529,247.105,224.63,221.889
UBR5,140.856,142.396,138.246,151.031,140.042,135.466
UBR7,35.2233,35.9013,35.0672,32.8954,30.6914,30.0712
UBTD1,40.7694,33.4459,32.6067,48.3493,49.3269,51.609
UBTD2,29.2915,28.6652,30.3831,34.5714,32.1885,31.4319
UBTF,116.431,104.56,107.225,117.765,118.609,118.944
UBTFL1,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
UBXN1,74.1746,67.7102,72.595,68.2853,65.1651,68.3454
UBXN2A,22.4232,23.773,23.6029,27.9845,26.7122,26.6889
UBXN2B,14.3611,16.3695,18.9188,19.8386,17.355,19.2051
UBXN4,153.895,168.271,178.252,189.324,169.374,168.084
UBXN6,124.236,122.939,122.48,124.8,133.246,132.376
UBXN7,73.6787,74.072,71.0275,82.6868,73.3796,73.6327
UBXN8,14.1775,14.0443,17.7159,14.4794,10.9725,10.9827
UBXN10,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
UBXN11,13.902,13.3932,14.5445,11.7512,11.5832,12.2073
UCHL1,204.269,225.955,217.22,222.98,212.003,221.112
UCHL3,3.30563,5.09687,4.57478,4.67708,3.99895,4.27645
UCHL5,24.5535,28.0886,30.6018,28.5691,23.4224,24.7062
UCK1,26.1144,24.6287,23.9675,24.7495,23.9937,25.7365
UCK2,38.5105,40.3843,40.4257,39.0146,39.6546,42.0258
UCKL1,38.6207,36.3105,34.3564,38.6248,40.9547,41.0734
UCMA,1.84E-06,1.86E-06,1.82E-06,1.95E-06,0.0197012,1.94E-06
UCN,0.532575,0.613858,0.218716,0.292319,0.29549,0.311016
UCN2,0.0550956,1.86E-06,0.018228,0.0194898,0.0197012,0.0388788
UCN3,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
UCP1,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
UCP2,24.2229,12.1841,12.9953,2.8842,2.6397,2.9352
UCP3,0.75295,0.948689,0.838407,0.760027,0.689475,0.796977
UEVLD,28.7589,31.8275,34.2835,33.558,30.7111,31.8596
UFC1,62.5865,58.1489,58.7795,56.3977,56.8126,56.8768
UFD1,95.1653,92.7295,93.0266,88.9814,88.9814,92.6435
UFL1,40.8612,46.8577,50.1585,43.4773,36.4042,38.4103
UFM1,55.2774,85.4004,89.8552,75.4763,55.1185,54.9135
UFSP1,0.697856,1.0417,1.0389,0.954905,0.650077,0.466524
UFSP2,24.4065,25.5401,27.4487,21.3392,18.8916,20.3131
UGCG,21.4315,28.0142,30.1826,41.8793,41.0335,38.8768
UGDH,52.7064,80.4338,78.6643,67.1355,56.5762,56.9545
UGGT1,185.391,226.643,220.027,212.69,189.251,190.788
UGGT2,34.3051,36.3849,38.1839,36.0914,33.7842,31.7818
