ProteinID
Q99829
A0FGR8
P15311
Q8IZP0
P17948
O15427
P33151
Q9Y4Y9
Q9Y6W5
Q9Y2A7
Q7L576
Q96F07
Q8WUW1
Q92558
Q9UPY6
P63000
P60953
Q70E73
P35241
P26038
P05556
P06756
P05106
Q9Y490
P18206
P16284
P35968
Q03135
P51636
Q6NZI2
O95810
Q969G5
Q5BKX8
O75955
P29474
P07355
Q92508
Q9HBA0
P18827
P31431
P35052
P50570
Q00610
