ProteinID
O14672
O14896
O15031
O43278
O43570
P01889
P05362
P05556
P07204
P09603
P09758
P10586
P12830
P14209
P15529
P16070
P16422
P18564
P18827
P29317
P29323
P30530
P30679
P31431
P35052
P35613
P61966
Q02818
Q08174
Q14126
Q15223
Q15262
Q15758
Q86VM9
Q8N271
Q8N8Z6
Q92692
Q99102
Q9BX10
Q9H5V8
Q9Y5Y6
Q9Y624
Q9Y653
